Date,Open,High,Low,Close,Volume,Adj Close
2010-09-01,79.03,80.83,77.68,80.70,619500,80.70
2010-08-31,77.12,78.53,76.80,78.53,787900,78.53
2010-08-30,78.99,79.39,77.50,78.12,380600,78.12
2010-08-27,79.00,79.30,77.15,79.02,885300,79.02
2010-08-26,78.17,79.93,77.75,79.21,689500,79.21
2010-08-25,78.66,78.94,76.16,77.60,880500,77.60
2010-08-24,79.49,79.74,78.00,79.08,774400,79.08
2010-08-23,79.13,80.00,78.65,79.89,690700,79.89
2010-08-20,78.48,79.16,77.66,78.86,783700,78.86
2010-08-19,78.76,79.90,77.92,78.58,786000,78.58
2010-08-18,78.60,79.17,77.05,78.03,857500,78.03
2010-08-17,78.00,78.95,77.90,78.60,628100,78.60
2010-08-16,77.22,78.40,76.70,77.60,429700,77.60
2010-08-13,78.12,78.66,76.23,77.02,820600,77.02
2010-08-12,78.20,78.40,76.73,77.93,1080900,77.93
2010-08-11,79.95,80.69,77.93,78.07,926300,78.07
2010-08-10,80.50,80.50,79.16,79.97,783500,79.97
2010-08-09,81.40,81.40,80.08,80.37,815300,80.37
2010-08-06,81.84,82.19,79.62,79.75,916300,79.75
2010-08-05,81.95,82.72,81.02,81.50,882500,81.50
2010-08-04,83.38,83.42,80.90,81.88,1031200,81.88
2010-08-03,84.25,85.16,81.77,83.32,1182300,83.32
2010-08-02,81.75,84.88,81.12,84.50,1820900,84.50
2010-07-30,81.66,81.75,80.18,81.31,1232500,81.31
2010-07-29,78.58,81.75,77.55,80.99,2518300,80.99
2010-07-28,78.52,79.35,76.43,78.59,873000,78.59
2010-07-27,79.90,80.00,78.32,78.69,842100,78.69
2010-07-26,79.40,79.95,78.96,79.95,597900,79.95
2010-07-23,78.62,79.39,77.61,79.27,934700,79.27
2010-07-22,75.34,78.90,75.20,78.72,1442700,78.72
2010-07-21,74.82,76.76,74.27,75.46,810300,75.46
2010-07-20,74.90,75.48,73.79,74.19,661000,74.19
2010-07-19,76.00,76.33,74.05,74.63,756800,74.63
2010-07-16,75.99,77.21,74.18,76.00,1099100,76.00
2010-07-15,76.60,77.90,75.23,75.82,931100,75.82
2010-07-14,77.40,77.40,75.85,77.30,900300,77.30
2010-07-13,73.44,77.04,73.44,77.00,1475200,77.00
2010-07-12,72.69,73.87,72.50,73.22,852200,73.22
2010-07-09,71.25,72.44,70.92,72.12,535700,72.12
2010-07-08,71.63,71.97,70.85,71.25,756300,71.25
2010-07-07,70.45,71.65,70.06,71.24,767100,71.24
2010-07-06,70.59,71.97,70.59,71.38,665800,71.38
2010-07-05,70.47,70.85,69.81,70.00,387500,70.00
2010-07-02,71.00,71.50,70.00,70.07,704100,70.07
2010-07-01,71.50,71.70,69.97,69.97,1475200,69.97
2010-06-30,73.52,74.71,72.22,72.38,1153100,72.38
2010-06-29,74.85,75.14,72.81,73.43,1233300,73.43
