st_gender,st_spg,st_mmog,st_age,st_immig,st_belong,st_repeat,pa_books,pa_educ,pa_escs,W_FSTUWT,math_score,scie_score,read_score,good_math,good_scie,good_read,bad_math,bad_scie,bad_read
Female,Never or hardly ever,Never or hardly ever,16,Native,.9357,0,101-200 books,18,1.5966,108.2387,567.0658,564.50409,621.24213,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Second-Generation,1.5611,0,11-25 books,15,-.4368,108.2387,507.98209,504.18439,541.61499,0,0,0,0,0,0
Female,Almost every day,Almost every day,15.92,Native,-.234,0,11-25 books,10,-.8867,108.2387,453.08121,477.43631,484.00479,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,-.3776,0,26-100 books,18,.3908,108.2387,535.85577,533.18707,510.4617,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,.2947,0,201-500 books,18,1.5116,108.2387,541.57159,563.81689,511.755,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,-.7743,0,More than 500 books,18,1.5113,108.2387,618.26672,607.8783,614.77362,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,.3602,0,11-25 books,15,.2078,108.2387,486.9429,545.1521,515.55322,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.92,Native,-.2338,0,26-100 books,15,-.0741,104.2576,497.32889,501.556,481.0824,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,15.83,Native,-.3381,0,201-500 books,18,1.75,104.2576,605.07703,648.7207,590.18793,1,1,0,0,0,0
Male,Once or twice a month,Once or twice a week,16.08,Native,1.398,0,0-10 books,18,1.133,104.2576,488.6861,512.55432,482.61771,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Second-Generation,-.0621,0,11-25 books,15,.1545,113.9147,460.28439,479.14609,586.8443,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.9646,0,101-200 books,18,1.6083,113.9147,473.0426,498.5054,572.02612,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.42,Native,-.7862,1,201-500 books,15,.8133,93.70092,557.42987,585.45099,575.3017,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,.1643,0,201-500 books,18,1.3,93.70092,554.32062,600.25293,680.16827,0,1,1,0,0,0
Female,Once or twice a week,Once or twice a week,15.5,Native,-1.4862,0,More than 500 books,18,1.5486,93.70092,579.0238,583.06409,580.92639,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,.3171,0,26-100 books,18,.3363,93.70092,552.24988,498.3613,543.79413,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-.7527,1,101-200 books,18,1.5535,93.70092,470.3248,503.61859,534.5155,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Second-Generation,2.5915,0,201-500 books,13,.1061,93.70092,556.12402,597.53607,615.6839,0,0,1,0,0,0
Male,Once or twice a week,Every day,16.08,Native,-.4725,1,11-25 books,15,.2524,99.84614000000001,603.64819,602.8457,616.47211,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,15.5,Native,2.5915,0,More than 500 books,18,1.3916,99.84614000000001,547.36121,565.33569,610.41608,0,0,1,0,0,0
Male,Almost every day,Almost every day,16,Native,-.3381,1,More than 500 books,18,.9711,99.84614000000001,573.91949,570.07281,540.09991,0,0,0,0,0,0
Male,Almost every day,Almost every day,16.33,Second-Generation,.0248,1,26-100 books,13,.0832,99.84614000000001,497.36179,437.56409,507.54651,0,0,0,0,1,0
Male,Once or twice a month,Never or hardly ever,15.5,Second-Generation,.9646,0,26-100 books,13,.0244,99.84614000000001,517.92938,472.5928,484.2623,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a month,15.58,Native,.4638,0,More than 500 books,18,1.3005,99.84614000000001,491.62149,508.26791,435.4892,0,0,0,0,0,1
Female,Never or hardly ever,Never or hardly ever,15.92,First-Generation,.9357,0,201-500 books,18,1.0189,99.5373,620.76062,632.22668,651.53308,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,-1.35,0,101-200 books,18,1.1325,99.5373,557.89441,529.4505,520.50647,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,.5423,0,11-25 books,13,.2496,99.5373,506.3425,481.94171,506.27289,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,-.4995,0,11-25 books,13,.0618,99.5373,540.60083,547.81232,559.03259,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,1.5611,0,201-500 books,18,1.4031,99.5373,643.89001,642.69739,686.06171,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,.6642,0,More than 500 books,18,2.1557,99.5373,612.09088,644.89349,677.62012,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16.25,Native,.6642,0,26-100 books,3,-2.2181,99.5373,511.13831,510.34589,532.58569,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16.17,Native,.1643,0,201-500 books,18,1.6909,99.5373,613.36639,605.41998,632.4787,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.33,Native,-1.0696,0,201-500 books,18,1.6163,99.5373,635.91138,664.18188,662.40527,1,1,1,0,0,0
Male,Never or hardly ever,Never or hardly ever,16,Second-Generation,.4033,0,More than 500 books,13,.5487,97.75552999999999,500.0477,563.4021,538.04132,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,16.25,Native,1.0269,0,More than 500 books,18,1.1761,97.75552999999999,623.48761,604.20081,624.95343,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.33,Native,-1.2766,0,More than 500 books,18,.7239,97.75552999999999,597.64111,588.82147,554.00171,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,15.67,Native,-.0944,0,More than 500 books,18,1.4936,97.75552999999999,580.60938,617.98132,622.48279,0,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,15.92,Native,.6642,0,201-500 books,18,1.6238,97.75552999999999,640.3653,646.64587,620.32751,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,15.58,Native,1.5611,0,More than 500 books,18,2.0593,93.70092,547.71613,581.12128,599.4046,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.42,Native,-1.2871,0,101-200 books,10,-.3072,93.54615,551.35632,531.15033,550.40759,0,0,0,0,0,0
Female,Almost every day,Once or twice a month,15.42,Native,.4638,0,201-500 books,15,1.0347,93.54615,665.92981,654.29358,641.2038,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,15.42,Native,1.3232,0,101-200 books,15,.5939,93.54615,538.00098,533.71527,552.79468,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,2.5915,0,26-100 books,18,.8811,93.54615,539.56201,494.72589,538.21399,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a month,15.42,Native,-.5064,0,201-500 books,10,-.8041,99.83743,671.00427,666.01453,581.12531,1,1,0,0,0,0
Male,Once or twice a week,Never or hardly ever,15.75,Native,.2947,1,More than 500 books,18,1.4138,99.83743,565.99872,555.04742,442.96301,0,0,0,0,0,1
Male,Every day,Every day,15.75,Native,1.398,0,201-500 books,10,-.6879999999999999,99.83743,669.40271,629.9765,591.23358,1,1,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,1.5611,0,101-200 books,13,.1359,101.187,549.64441,553.00891,621.96619,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,.6642,0,26-100 books,10,-.9651999999999999,101.187,578.47351,554.0636,579.37341,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,-1.8419,0,More than 500 books,18,1.0907,101.187,601.50128,597.25348,624.29688,1,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Second-Generation,1.5043,0,26-100 books,18,1.1421,101.187,559.31787,552.49371,649.78741,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,2.5915,0,101-200 books,18,.585,101.187,531.5943,494.67041,528.53558,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.83,Native,.7333,0,201-500 books,15,.341,101.187,649.36072,644.22791,641.13129,1,1,1,0,0,0
Female,Once or twice a month,Once or twice a month,15.58,Native,.7246,0,More than 500 books,18,1.9795,101.187,701.67981,697.3877,632.7514,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,16.33,Native,.6897,0,More than 500 books,15,.9513,96.80497,698.24957,677.55341,648.78387,1,1,1,0,0,0
Male,Almost every day,Almost every day,16.08,Native,.1771,0,26-100 books,18,1.2208,96.80497,668.64551,688.4563,680.16248,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.17,Native,.412,0,101-200 books,18,1.2549,96.80497,682.71271,668.9248,648.68262,1,1,1,0,0,0
Male,Once or twice a month,Almost every day,16.08,Native,.9357,0,101-200 books,13,.2563,96.80497,693.46863,710.79639,636.63843,1,1,1,0,0,0
Male,Once or twice a month,Almost every day,15.92,Native,.9357,0,101-200 books,13,-.024,96.80497,634.57977,649.15619,636.12659,1,1,1,0,0,0
Male,Almost every day,Almost every day,15.92,Native,2.5915,0,26-100 books,18,.5914,96.80497,665.16791,659.09479,663.57343,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,15.75,Native,-.1715,0,101-200 books,18,.634,96.80497,690.81128,729.94647,656.36469,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.17,Native,.7246,0,26-100 books,13,.6976,96.80497,604.2099,582.64569,582.59998,1,0,0,0,0,0
Male,Once or twice a week,Every day,15.92,Native,-.3381,0,0-10 books,13,-.8135,96.80497,662.63281,681.58252,673.14758,1,1,1,0,0,0
Female,Once or twice a week,Once or twice a week,15.42,Native,.9646,0,26-100 books,15,.8144,93.54615,514.99799,485.86661,516.94379,0,0,0,0,0,0
